epoch,step,train_acc,train_f1,train_loss,train_precision,train_recall,val_acc,val_f1,val_loss,val_precision,val_recall
0,12,,,,,,0.6666666865348816,0.6530612111091614,0.6177350282669067,0.8888888955116272,0.5161290168762207
1,25,,,,,,0.7843137383460999,0.8135592937469482,0.46636244654655457,0.8571428656578064,0.774193525314331
2,38,,,,,,0.843137264251709,0.8709677457809448,0.4790116250514984,0.8709677457809448,0.8709677457809448
3,49,1.0,1.0,0.013736322522163391,1.0,1.0,,,,,
3,51,,,,,,0.8823529481887817,0.8965517282485962,0.3923100233078003,0.9629629850387573,0.8387096524238586
4,64,,,,,,0.8627451062202454,0.8888888955116272,0.32142096757888794,0.875,0.9032257795333862
5,77,,,,,,0.8627451062202454,0.892307698726654,0.469551682472229,0.8529411554336548,0.9354838728904724
6,90,,,,,,0.9019607901573181,0.9230769276618958,0.4598715603351593,0.8823529481887817,0.9677419066429138
7,99,1.0,1.0,0.0076650530099868774,1.0,1.0,,,,,
7,103,,,,,,0.9411764740943909,0.9523809552192688,0.3707481324672699,0.9375,0.9677419066429138
8,116,,,,,,0.9411764740943909,0.9523809552192688,0.31746605038642883,0.9375,0.9677419066429138
9,129,,,,,,0.9019607901573181,0.9230769276618958,0.32856041193008423,0.8823529481887817,0.9677419066429138
10,142,,,,,,0.8823529481887817,0.8965517282485962,0.3283461034297943,0.9629629850387573,0.8387096524238586
11,149,1.0,1.0,0.03022828698158264,1.0,1.0,,,,,
11,155,,,,,,0.9215686321258545,0.9354838728904724,0.2805306911468506,0.9354838728904724,0.9354838728904724
12,168,,,,,,0.9019607901573181,0.9230769276618958,0.2915152311325073,0.8823529481887817,0.9677419066429138
